Country,Year_Month,New_cases,New_deaths,Cumulative_cases,Cumulative_deaths,Date_reported_x,Country_code_x,WHO_region_x,Date_reported_y,Country_code_y,WHO_region_y,Date_reported,Country_code,WHO_region,Health_Coverage_Index,Median_Age,Urban_Population_Share,Region,Temperature (°C),Relative Humidity (%),Ozone Concentration (ppb),Cases per Million
Somalia,2022-09,35.0,0.0,27216,1361,2022-09-01,SO,,2022-09-01,SO,,2022-09-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,28.562195914132218,54.895274557300006,50.05892619789977,35.0
Somalia,2022-10,21.0,0.0,27237,1361,2022-10-01,SO,,2022-10-01,SO,,2022-10-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,22.707752772739838,44.5829982969,48.520900496181895,21.0
Somalia,2022-11,49.0,0.0,27286,1361,2022-11-01,SO,,2022-11-01,SO,,2022-11-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,23.743372235979336,46.75052519554,48.40557526871894,49.0
Somalia,2022-12,14.0,0.0,27300,1361,2022-12-01,SO,,2022-12-01,SO,,2022-12-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,25.895618983677338,50.5039073427,48.61304400297481,14.0
Somalia,2023-01,18.0,0.0,27318,1361,2023-01-01,SO,,2023-01-01,SO,,2023-01-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,20.9829483032226,41.5409312284,48.16311047761701,18.0
Somalia,2023-02,6.0,0.0,27324,1361,2023-02-01,SO,,2023-02-01,SO,,2023-02-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,13.396512712750877,32.75709459558,46.93665557299807,6.0
Somalia,2023-03,10.0,0.0,27334,1361,2023-03-01,SO,,2023-03-01,SO,,2023-03-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,16.387551443917374,34.39826292118,47.9911120367303,10.0
Somalia,2023-04,0.0,0.0,27334,1361,2023-04-01,SO,,2023-04-01,SO,,2023-04-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,21.33700125558036,41.611885119760004,48.5765355863675,0.0
Somalia,2023-05,0.0,0.0,27334,1361,2023-05-01,SO,,2023-05-01,SO,,2023-05-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,25.05049460274833,49.309980905879996,48.16911444192686,0.0
Somalia,2023-06,0.0,0.0,27334,1361,2023-06-01,SO,,2023-06-01,SO,,2023-06-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,30.747597830636124,60.537665766379995,48.737751317925614,0.0
Somalia,2023-07,0.0,0.0,27334,1361,2023-07-01,SO,,2023-07-01,SO,,2023-07-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,32.2431389944893,65.0375728063,49.17240663157177,0.0
Somalia,2023-08,0.0,0.0,27334,1361,2023-08-01,SO,,2023-08-01,SO,,2023-08-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,23.93754577636713,46.157270220899996,47.828977715523386,0.0
Somalia,2023-09,0.0,0.0,27334,1361,2023-09-01,SO,,2023-09-01,SO,,2023-09-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,24.9599990844726,48.69864746328,49.032900538544965,0.0
Somalia,2023-10,0.0,0.0,27334,1361,2023-10-01,SO,,2023-10-01,SO,,2023-10-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,25.346602303641106,49.154361892880004,49.25992081033266,0.0
Somalia,2023-11,0.0,0.0,27334,1361,2023-11-01,SO,,2023-11-01,SO,,2023-11-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,29.613422938755463,58.897728948579996,50.11887359224991,0.0
Somalia,2023-12,0.0,0.0,27334,1361,2023-12-01,SO,,2023-12-01,SO,,2023-12-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,40.64779445103227,85.16405526148,52.892210078425705,0.0
Somalia,2024-01,0.0,0.0,27334,1361,2024-01-01,SO,,2024-01-01,SO,,2024-01-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,30.367212568010586,60.08000969553999,51.064128326418405,0.0
Somalia,2024-02,0.0,0.0,27334,1361,2024-02-01,SO,,2024-02-01,SO,,2024-02-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,14.969851902552875,34.5286792643,47.454320468075046,0.0
Somalia,2024-03,0.0,0.0,27334,1361,2024-03-01,SO,,2024-03-01,SO,,2024-03-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,19.336257934570256,38.84447672004,48.66882461231268,0.0
Somalia,2024-04,0.0,0.0,27334,1361,2024-04-01,SO,,2024-04-01,SO,,2024-04-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,20.865352085658486,42.05818778634,48.55764797996796,0.0
Somalia,2024-05,0.0,0.0,27334,1361,2024-05-01,SO,,2024-05-01,SO,,2024-05-01,SO,,19.857142857142858,15.989027027027028,17.347561900983592,Sub-Saharan Africa,26.299104963029976,51.54149174424,48.57175943990504,0.0
